Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,Water Intensive (based on Etp)
3035,22.3,Perennial Crops,8,974,1097,185,0.087340805,0.664382019,776,Ong,1488,,,0,18931,21199,IRRIGATED,2019,1
41.06668873,0.3,Other Irrigated (High Water Intensive),14,318,386,134,0.193306122,0.891361146,182,Ong,1209,,,1,4626,3297,IRRIGATED,2019,1
149.3631936,1.1,Other Irrigated (Less Water Intensive),15,229,284,44,0.193306122,0.891361146,182,Ong,1152,,,1,4023,4678,IRRIGATED,2019,0
1619.263922,70.1,Other Irrigated (High Water Intensive),14,433,529,196,0.125505262,0.335155646,236,Ong,175,,,3,3714,4632,IRRIGATED,2020,1
101.992671,4.4,Other Irrigated (Less Water Intensive),15,267,334,77,0.125505262,0.335155646,190,Ong,133,,,3,2581,3443,IRRIGATED,2020,1
79.2190203,3.4,Class1,31,288,417,110,0.125505262,0.335155646,177,Ong,136,,,3,2354,3920,IRRIGATED,2020,1
421.7596149,18.3,Class4,34,383,501,161,0.125505262,0.335155646,221,Ong,167,,,3,3337,4934,IRRIGATED,2020,1
32.07795252,0.3,Other Irrigated (Less Water Intensive),15,249,344,29,0.042734244,0.442410385,216,Ong,95,,,2,5794,8498,IRRIGATED,2020,1
263.7224327,2.5,Other Irrigated (High Water Intensive),14,364,390,125,0.142510962,0.485414821,236,Ong,1442,,,1,5696,6326,IRRIGATED,2020,1
468.7801477,4.5,Other Irrigated (Less Water Intensive),15,316,346,84,0.142510962,0.485414821,233,Ong,1429,,,1,4695,5500,IRRIGATED,2020,1
3835.719081,36.3,Kharif Crop,1,476,585,66,0.120817945,0.790952241,413,Ong,1414,,,0,8876,11601,IRRIGATED,2020,1
25.36040426,0.2,Double Crop Kharif/Rabi,4,447,685,80,0.120817945,0.790952241,364,Ong,1089,,,0,8161,14429,IRRIGATED,2020,1
2154.301693,20.4,Double Crop Kharif/Zaid,5,861,1043,228,0.120817945,0.790952241,632,Ong,1503,,,0,12185,15383,IRRIGATED,2020,1
15.66613567,0.1,Double Crop Rabi/Zaid,6,660,785,208,0.120817945,0.790952241,448,Ong,269,,,0,8783,11692,IRRIGATED,2020,1
