system:index,Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,.geo
1_1_2_00000000000000000007,15.66613566926545,0.1,Double Crop Rabi/Zaid,6,660,785,208,0.12081794457820086,0.7909522409439722,448,Ong,269,,,0,8783,11692,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000008,6.783279736899578,0.1,Triple Crop,7,762,973,241,0.12081794457820086,0.7909522409439722,520,Ong,1163,,,0,9935,14435,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000009,251.1742090220133,2.4,Perennial Crops,8,1011,1197,231,0.12081794457820086,0.7909522409439722,777,Ong,1740,,,0,16052,19027,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000021,46.67483737198476,1.8,Other Irrigated (Less Water Intensive),15,267,349,68,0.13011730395960122,0.31382273155333995,199,Ong,58,,,3,2949,3262,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000024,81.54019084880154,3.2,Class1,31,318,449,119,0.13011730395960122,0.31382273155333995,198,Ong,115,,,3,2778,3601,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000001f,1482.5523249263974,58.7,Other Irrigated (High Water Intensive),14,474,569,244,0.13011730395960122,0.31382273155333995,229,Ong,170,,,3,2889,3865,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000026,744.4587580056724,29.5,Class4,34,443,545,218,0.13011730395960122,0.31382273155333995,224,Ong,173,,,3,2884,4174,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000000e,38.39233945047415,0.4,Other Irrigated (High Water Intensive),14,293,338,122,0.21250162366161385,0.6583141525302407,169,Ong,1040,,,1,4500,4695,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000000f,151.80534748228186,1.7,Other Irrigated (Less Water Intensive),15,243,274,73,0.21250162366161385,0.6583141525302407,168,Ong,1016,,,1,4153,4750,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000018,58.53356813370643,0.7,Other Irrigated (Less Water Intensive),15,241,328,31,0.04393735848970317,0.4247903954030132,206,Ong,91,,,2,5959,9237,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000008,14.383599859619137,0.2,Double Crop Rabi/Zaid,6,741,870,290,0.12443426692485401,0.8711434624055067,446,Ong,275,,,0,9383,12174,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000000,4053.7929421480044,44.9,Kharif Crop,1,420,509,60,0.12443426692485401,0.8711434624055067,356,Ong,943,,,0,8714,12325,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000002,33.569077611655445,0.4,Rabi Crop,2,311,549,48,0.12443426692485401,0.8711434624055067,257,Ong,111,,,0,7441,12364,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
